"site";"vegspecies";"buggroup";"family";"species";"size";"functional.group"
"Carlton Gardens South";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Medicago lupulina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Oxalis sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Penstemon sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Penstemon sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Rosa sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Rosa sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Rosa sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Lavandula sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Tanacetum vulgare";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Petunia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Solanum nigrans";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Carlton Gardens South";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Heleborus sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Kalanchoe sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Kalanchoe sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Kalanchoe sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagerstraemia medica";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Oxalis sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Brachychitron acerifolius";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dietes sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagunaria sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagunaria sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Schinus molle";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Stachys byzantina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Angelonia augustifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Angelonia augustifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dianthus barbatus";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dianthus barbatus";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanium peregrinium";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Liriope muscari";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Liriope muscari";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Petunia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Petunia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Angelonia augustifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Angelonia augustifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Begonia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Craspedia sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dianthus barbatus";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dianthus barbatus";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Petunia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Phyla canescens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viola tricolor";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viola tricolor";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viola tricolor";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trachelospermum jasminoides";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Oxalis sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Anthropodium cirratum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Anthropodium cirratum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Begonia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Begonia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Begonia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Dietes sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Erythrina herbaceae";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagerstraemia sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagerstraemia sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanium peregrinium";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Oxalis sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagerstraemia sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Ligustrum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Phyla canescens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Phyla canescens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Phyla canescens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Tagetes sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Tagetes sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Tagetes sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clematis tenifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Begonia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Plectranthus sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Rosa sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Salvia sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clematis tenifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Abelia grandifolia";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Canna generalis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Oxalis sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Plectranthus sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Lagerstraemia sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Medicago polymorpha";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Fitzroy-Treasury Gardens";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Schinus molle";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Schinus molle";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Gardiner Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Asteraceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Hypericum calycinium";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Lotus corniculatus";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Medicago lupulina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Medicago lupulina";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Garrard Street Reserve";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Anagallis arvensis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Myoporum parvifolium";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Trifolium repens";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Anthropodium cirratum";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Bellis perennis";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Convolvulus sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Convolvulus sp.";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Lamiaceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Lamiaceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Lamiaceae 1";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Limanarium perezii";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Mentha sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Mentha sp. ";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
"Lincoln Square";"Myoporum parvifolium";"Butterflies";"Hesperiidae";"Hesperiidae group";16,5;"Pollinator"
