"site";"vegspecies";"buggroup";"family";"species";"size";"functional.group"
"Carlton Gardens South";"Cynodon dactylon05";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon05";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon06";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon06";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon08";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon08";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon08";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon09";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon09";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon10";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon10";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon10";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon11";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon11";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Gardiner Reserve";"Cynodon dactylon12";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Gardiner Reserve";"Cynodon dactylon12";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Gardiner Reserve";"Cynodon dactylon12";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Garrard Street Reserve";"Cynodon dactylon13";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Garrard Street Reserve";"Cynodon dactylon13";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Cynodon dactylon14";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Cynodon dactylon15";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Cynodon dactylon15";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Cynodon dactylon15";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Murchinson Square";"Cynodon dactylon16";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Murchinson Square";"Cynodon dactylon16";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Murchinson Square";"Cynodon dactylon16";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon18";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon18";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon20";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon20";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon21";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon21";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Cynodon dactylon23";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon24";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon24";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon24";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon25";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon25";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon26";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon26";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon30";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon30";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon31";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon32";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon32";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Cynodon dactylon32";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Cynodon dactylon33";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Cynodon dactylon33";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"University Square";"Cynodon dactylon34";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"University Square";"Cynodon dactylon35";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"University Square";"Cynodon dactylon35";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"University Square";"Cynodon dactylon35";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"University Square";"Cynodon dactylon35";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Westgate Park";"Cynodon dactylon37";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon40";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon41";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon41";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Canna generalis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Canna generalis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Canna indica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Hedychium sp";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Hedychium sp";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Hedychium sp";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Dianella sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Lomandra longifolia";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Lomandra longifolia";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Lomandra longifolia";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Lomandra longifolia";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Dietes sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Dietes sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Iris albicans";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Iris albicans";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Kniphofia sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Bursaria spinosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Bursaria spinosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Bursaria spinosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Goodenia ovata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Goodenia ovata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Westgate Park";"Duma florulenta";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Westringia fruticosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Westringia fruticosa";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Artemisia arborescens";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Artemisia arborescens";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Santolina chamaecyparissus";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Viburnum sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Abelia grandiflora";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Camellia sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Aucuba japonica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nerium oleander";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Nerium oleander";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Nerium oleander";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"State Library of Victoria";"Trachelospermum jasminoides";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Acanthus mollis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
