"site";"interaction_type";"species";"species_functional_group";"metric";"value"
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"closeness";0,103448275862069
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"weighted.closeness";0,161963190184049
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"normalised.degree";0,3
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"species.strength";1,93030303030303
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"d";0,0772531460688225
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"betweenness";0,166666666666667
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"closeness";0,103448275862069
"Argyle Square";"Herbivory";"Salvia leucantha";"Plant";"weighted.closeness";0,129865030674847
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"normalised.degree";0,15
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"species.strength";0,407575757575758
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"d";0,117192736045841
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"betweenness";0
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"closeness";0,0977011494252874
"Argyle Square";"Herbivory";"Ulmus procera";"Plant";"weighted.closeness";0,0948473785238436
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"normalised.degree";0,9
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"species.strength";3,44166666666667
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"d";0,0804410580715237
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"betweenness";0,300510204081633
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"weighted.betweenness";0,777979431336963
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"closeness";0,0673758865248227
"Argyle Square";"Herbivory";"Cortinicara sp.1";"Herbivore";"weighted.closeness";0,076223313889749
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"species.strength";0,111111111111111
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"d";0,207518749639422
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"closeness";0,0443262411347518
"Argyle Square";"Herbivory";"Cryptoneossa triangula";"Herbivore";"weighted.closeness";0,0206954375967116
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"normalised.degree";0,7
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"species.strength";1,22222222222222
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"d";0,0448907967092757
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"betweenness";0,300510204081633
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"weighted.betweenness";0,0520266182698125
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"closeness";0,0673758865248227
"Argyle Square";"Herbivory";"Erythroneurini 1";"Herbivore";"weighted.closeness";0,063788516196131
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"normalised.degree";0,7
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"species.strength";2,37777777777778
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"d";0,265638627138631
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"betweenness";0,177040816326531
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"weighted.betweenness";0,0120992135511192
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"closeness";0,0620567375886525
"Argyle Square";"Herbivory";"Hydrellia tritici";"Herbivore";"weighted.closeness";0,05880429604508
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"species.strength";0,222222222222222
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"d";0,407280439435757
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"closeness";0,0443262411347518
"Argyle Square";"Herbivory";"Paropsides sp. 1";"Herbivore";"weighted.closeness";0,0348428856703468
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"species.strength";0,111111111111111
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"d";0,207518749639422
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"closeness";0,0443262411347518
"Argyle Square";"Herbivory";"Phoridae 4";"Herbivore";"weighted.closeness";0,0206954375967116
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"normalised.degree";0,2
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"species.strength";0,222222222222222
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"d";0,134128344238792
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"betweenness";0,0520408163265306
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"closeness";0,0531914893617021
"Argyle Square";"Herbivory";"Taylorilygus sp. 1";"Herbivore";"weighted.closeness";0,0318750196856594
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"species.strength";0,125
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"d";0,25
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"closeness";0,0407801418439716
"Argyle Square";"Herbivory";"Phoridae 1";"Herbivore";"weighted.closeness";0,0196458441856778
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"normalised.degree";0,4
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"species.strength";0,4125
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"d";0,0248759715208703
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"betweenness";0,0591836734693878
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"closeness";0,0549645390070922
"Argyle Square";"Herbivory";"Remaudiereana inornata";"Herbivore";"weighted.closeness";0,0444353375095135
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"species.strength";0,125
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"d";0,25
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"closeness";0,0425531914893617
"Argyle Square";"Herbivory";"Creontiades dilutus";"Herbivore";"weighted.closeness";0,0197795969157901
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"species.strength";0,125
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"d";0,25
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"closeness";0,0425531914893617
"Argyle Square";"Herbivory";"Pheidole sp. 1";"Herbivore";"weighted.closeness";0,0197795969157901
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"species.strength";0,111111111111111
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"d";0,207518749639422
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"closeness";0,0460992907801418
"Argyle Square";"Herbivory";"Corticaria sp.1";"Herbivore";"weighted.closeness";0,0211445644679384
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"species.strength";0,111111111111111
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"d";0,207518749639422
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"closeness";0,0460992907801418
"Argyle Square";"Herbivory";"Emblesis sp. 2";"Herbivore";"weighted.closeness";0,0211445644679384
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"normalised.degree";0,2
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"species.strength";0,173611111111111
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"d";0,0207599817254676
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"betweenness";0,0448979591836735
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"closeness";0,0549645390070922
"Argyle Square";"Herbivory";"Nysius caledoniae";"Herbivore";"weighted.closeness";0,0317862489922838
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"normalised.degree";0,4
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"species.strength";0,647222222222222
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"d";0,187067104858102
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"betweenness";0,0658163265306122
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"weighted.betweenness";0,157894736842105
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"closeness";0,0567375886524823
"Argyle Square";"Herbivory";"Nysius vinitor";"Herbivore";"weighted.closeness";0,0570778616482267
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"species.strength";0,111111111111111
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"d";0,207518749639422
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"closeness";0,0460992907801418
"Argyle Square";"Herbivory";"Sidnia kinbergii";"Herbivore";"weighted.closeness";0,0211445644679384
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"species.strength";0,0625
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"d";0
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"closeness";0,0478723404255319
"Argyle Square";"Herbivory";"Deltocephalinae 1";"Herbivore";"weighted.closeness";0,0203165255796835
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"species.strength";0,0625
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"d";0
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"closeness";0,0478723404255319
"Argyle Square";"Herbivory";"Mirinae 1";"Herbivore";"weighted.closeness";0,0203165255796835
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"species.strength";0,125
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"d";0,180543714409107
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"closeness";0,0478723404255319
"Argyle Square";"Herbivory";"Naupactus cervinus ";"Herbivore";"weighted.closeness";0,0337821297429621
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"normalised.degree";0,1
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"species.strength";0,1
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"d";0,169517976278159
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"betweenness";0
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"closeness";0,0425531914893617
"Argyle Square";"Herbivory";"Agromyzidae 2";"Herbivore";"weighted.closeness";0,0198041115057583
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"normalised.degree";1
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"species.strength";1
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"d";NA
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"betweenness";NA
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"weighted.betweenness";NA
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"closeness";NA
"Canning/Neil Street Reserve";"Pollination";"Schinus molle";"Plant";"weighted.closeness";NA
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"normalised.degree";1
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"species.strength";1
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"d";NA
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"betweenness";NA
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"weighted.betweenness";NA
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"closeness";NA
"Canning/Neil Street Reserve";"Pollination";"Lasioglossum hemichalceum";"Pollinator";"weighted.closeness";NA
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"normalised.degree";0,166666666666667
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"species.strength";1
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"d";1
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"weighted.betweenness";NA
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"closeness";NA
"Canning/Neil Street Reserve";"Herbivory";"Cynodon dactylon03";"Plant";"weighted.closeness";NA
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"normalised.degree";0,833333333333333
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"species.strength";5
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"d";1
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"weighted.betweenness";NA
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"closeness";NA
"Canning/Neil Street Reserve";"Herbivory";"Schinus molle";"Plant";"weighted.closeness";NA
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"species.strength";1
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"d";1
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"weighted.betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"closeness";0
"Canning/Neil Street Reserve";"Herbivory";"Pheidole sp. 1";"Herbivore";"weighted.closeness";0
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"species.strength";0,166666666666667
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"d";0
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"weighted.betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"closeness";0,2
"Canning/Neil Street Reserve";"Herbivory";"Campylomma liebknechti";"Herbivore";"weighted.closeness";0,208333333333333
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"species.strength";0,333333333333333
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"d";0
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"weighted.betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"closeness";0,2
"Canning/Neil Street Reserve";"Herbivory";"Cortinicara sp.1";"Herbivore";"weighted.closeness";0,416666666666667
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"species.strength";0,166666666666667
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"d";0
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"weighted.betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"closeness";0,2
"Canning/Neil Street Reserve";"Herbivory";"Erythroneurini 1";"Herbivore";"weighted.closeness";0,208333333333333
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"species.strength";0,166666666666667
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"d";0
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"weighted.betweenness";0
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"closeness";0,2
"Canning/Neil Street Reserve";"Herbivory";"Nysius vinitor";"Herbivore";"weighted.closeness";0,208333333333333
"Canning/Neil Street Reserve";"Herbivory";"Tephritidae 8";"Herbivore";"normalised.degree";0,5
"Canning/Neil Street Reserve";"Herbivory";"Tephritidae 8";"Herbivore";"species.strength";0,166666666666667
