"siteA";"siteB";"neardist";"metric";"value";"interaction"
"Lincoln Square";"State Library of Victoria";729,61;"species_turnover";0,688888888888889;"herbivory"
"Lincoln Square";"State Library of Victoria";729,61;"interaction_turnover";0,933333333333333;"herbivory"
"Lincoln Square";"University Square";161,27;"species_turnover";0,705882352941176;"herbivory"
"Lincoln Square";"University Square";161,27;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Westgate Park";5333,84;"species_turnover";0,9;"herbivory"
"Lincoln Square";"Westgate Park";5333,84;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Women's Peace Gardens";3529,17;"species_turnover";0,764705882352941;"herbivory"
"Lincoln Square";"Women's Peace Gardens";3529,17;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Lincoln Square";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Murchinson Square";"Pleasance Gardens";2341,83;"species_turnover";0,6;"herbivory"
"Murchinson Square";"Pleasance Gardens";2341,83;"interaction_turnover";1;"herbivory"
"Murchinson Square";"Princes Park";1349,29;"species_turnover";0,882352941176471;"herbivory"
"Murchinson Square";"Princes Park";1349,29;"interaction_turnover";0,974025974025974;"herbivory"
"Murchinson Square";"Royal Park";1536,45;"species_turnover";0,939393939393939;"herbivory"
"Murchinson Square";"Royal Park";1536,45;"interaction_turnover";1;"herbivory"
"Murchinson Square";"State Library of Victoria";1250,45;"species_turnover";0,714285714285714;"herbivory"
"Murchinson Square";"State Library of Victoria";1250,45;"interaction_turnover";1;"herbivory"
"Murchinson Square";"University Square";1021,36;"species_turnover";0,5;"herbivory"
"Murchinson Square";"University Square";1021,36;"interaction_turnover";0,846153846153846;"herbivory"
"Murchinson Square";"Westgate Park";6260,11;"species_turnover";0,945454545454546;"herbivory"
"Murchinson Square";"Westgate Park";6260,11;"interaction_turnover";1;"herbivory"
"Murchinson Square";"Women's Peace Gardens";4341,48;"species_turnover";0,804878048780488;"herbivory"
"Murchinson Square";"Women's Peace Gardens";4341,48;"interaction_turnover";1;"herbivory"
