"site";"interaction_type";"metric";"value"
"Garrard Street Reserve";"Herbivore";"interaction_overlap";0,583333333333333
"Lincoln Square";"Pollinator";"richness";4
"Lincoln Square";"Pollinator";"connectance";0,5
"Lincoln Square";"Pollinator";"link_density";1
"Lincoln Square";"Pollinator";"degree_heterogeneity";1,38629436111989
"Lincoln Square";"Pollinator";"modularity_eigen";0,5
"Lincoln Square";"Pollinator";"modularity_betweenness";0,5
"Lincoln Square";"Pollinator";"nestedness";0
"Lincoln Square";"Pollinator";"centrality_degree";0
"Lincoln Square";"Pollinator";"centrality_betweenness";0
"Lincoln Square";"Pollinator";"centrality_eigen";3,12135893545396e-05
"Lincoln Square";"Pollinator";"interaction_overlap";0,5
"Lincoln Square";"Herbivore";"richness";19
"Lincoln Square";"Herbivore";"connectance";0,320512820512821
"Lincoln Square";"Herbivore";"link_density";2,63157894736842
"Lincoln Square";"Herbivore";"degree_heterogeneity";2,72674193821544
"Lincoln Square";"Herbivore";"modularity_eigen";0,3696
"Lincoln Square";"Herbivore";"modularity_betweenness";0,1488
"Lincoln Square";"Herbivore";"nestedness";28,5125448028674
"Lincoln Square";"Herbivore";"centrality_degree";0,128086419753086
"Lincoln Square";"Herbivore";"centrality_betweenness";0,309093266936404
"Lincoln Square";"Herbivore";"centrality_eigen";0,621446192102233
"Lincoln Square";"Herbivore";"interaction_overlap";0,490840949174283
"Murchinson Square";"Pollinator";"richness";NA
"Murchinson Square";"Pollinator";"connectance";NA
"Murchinson Square";"Pollinator";"link_density";NA
"Murchinson Square";"Pollinator";"degree_heterogeneity";NA
"Murchinson Square";"Pollinator";"modularity_eigen";NA
"Murchinson Square";"Pollinator";"modularity_betweenness";NA
"Murchinson Square";"Pollinator";"nestedness";NA
"Murchinson Square";"Pollinator";"centrality_degree";NA
"Murchinson Square";"Pollinator";"centrality_betweenness";NA
"Murchinson Square";"Pollinator";"centrality_eigen";NA
"Murchinson Square";"Pollinator";"interaction_overlap";NA
"Murchinson Square";"Herbivore";"richness";9
"Murchinson Square";"Herbivore";"connectance";0,642857142857143
"Murchinson Square";"Herbivore";"link_density";2
"Murchinson Square";"Herbivore";"degree_heterogeneity";1,95598384658436
"Murchinson Square";"Herbivore";"modularity_eigen";0,271604938271605
"Murchinson Square";"Herbivore";"modularity_betweenness";0,222222222222222
"Murchinson Square";"Herbivore";"nestedness";39,3939393939394
"Murchinson Square";"Herbivore";"centrality_degree";0,28125
"Murchinson Square";"Herbivore";"centrality_betweenness";0,725446428571429
"Murchinson Square";"Herbivore";"centrality_eigen";0,666466636061542
"Murchinson Square";"Herbivore";"interaction_overlap";0,722222222222222
"Pleasance Gardens";"Pollinator";"richness";NA
"Pleasance Gardens";"Pollinator";"connectance";NA
"Pleasance Gardens";"Pollinator";"link_density";NA
"Pleasance Gardens";"Pollinator";"degree_heterogeneity";NA
"Pleasance Gardens";"Pollinator";"modularity_eigen";NA
"Pleasance Gardens";"Pollinator";"modularity_betweenness";NA
"Pleasance Gardens";"Pollinator";"nestedness";NA
"Pleasance Gardens";"Pollinator";"centrality_degree";NA
"Pleasance Gardens";"Pollinator";"centrality_betweenness";NA
"Pleasance Gardens";"Pollinator";"centrality_eigen";NA
"Pleasance Gardens";"Pollinator";"interaction_overlap";NA
"Pleasance Gardens";"Herbivore";"richness";16
"Pleasance Gardens";"Herbivore";"connectance";0,678571428571429
"Pleasance Gardens";"Herbivore";"link_density";2,375
"Pleasance Gardens";"Herbivore";"degree_heterogeneity";2,31201451113579
"Pleasance Gardens";"Herbivore";"modularity_eigen";0,236842105263158
"Pleasance Gardens";"Herbivore";"modularity_betweenness";0,0997229916897507
"Pleasance Gardens";"Herbivore";"nestedness";43,4782608695652
"Pleasance Gardens";"Herbivore";"centrality_degree";0,342222222222222
"Pleasance Gardens";"Herbivore";"centrality_betweenness";0,745396825396825
"Pleasance Gardens";"Herbivore";"centrality_eigen";0,727083056901746
"Pleasance Gardens";"Herbivore";"interaction_overlap";0,763157894736842
"Princes Park";"Pollinator";"richness";NA
"Princes Park";"Pollinator";"connectance";NA
"Princes Park";"Pollinator";"link_density";NA
"Princes Park";"Pollinator";"degree_heterogeneity";NA
"Princes Park";"Pollinator";"modularity_eigen";NA
"Princes Park";"Pollinator";"modularity_betweenness";NA
"Princes Park";"Pollinator";"nestedness";NA
"Princes Park";"Pollinator";"centrality_degree";NA
"Princes Park";"Pollinator";"centrality_betweenness";NA
"Princes Park";"Pollinator";"centrality_eigen";NA
